,orig_name,name,url,volume,options,Напиток,Вкус,С содержанием сока,Степень газирования,Упаковка,Стандарты производства,Состав,Энергетическая ценность в 100 г,Углеводы в 100 г,Срок годности,brend,category,Цвет,Тип,Объем,Материал корпуса,Материал колбы,Сохраняет холод,Высота,Диаметр/ширина корпуса,Вес,Особенности,В комплекте,Основа,Разбавитель,Степень глянца,Количество компонентов,Нанесение,Область применения,Материал обработки,Для внутренних работ,Для наружных работ,УФ защита,Время высыхания,Яхтный лак,Влагостойкий,Сохраняет тепло,Объем упаковки,Класс вязкости SAE,Класс ACEA,Класс ACEA (подробно),Двигатель,Тип двигателя,Назначение,Допуски,Тип баллона,Газ,Вид,Объем баллона,Масса газа,Соединение,Рабочее давление,Масса,Диаметр,Дополнительная информация,Срок службы,Подключение к водопроводу,Использование,Фильтрующий модуль в комплекте,Накопительная емкость,Мощность,Прозрачный корпус,Без сахара,Тип воды,Материал упаковки,Вид воды,Артезианская,Газированная,Страна производства,Сырье пива,Способ обработки пива,Крепость,Количество в упаковке,Блок,Дегустационные характеристики,Энергетическая ценность в 100 мл,Углеводы в 100 мл,Столовая,Уровень минерализации,Материал,Количество фигурок в наборе,Персонаж,Тип питания,Для детского питания,Спортивный колпачок,С добавлением сока,Рекомендуемый возраст,Гипоаллергенный,path,Родниковая,С винтовой крышкой,Белки в 100 г,Жиры в 100 г,Средство,Спрей,Тип кожи,Эффект,Масла и экстракты,Не содержит,Способ применения,Форма выпуска,Содержание сахара,Сорт винограда,Рекомендации по употреблению,Вид напитка,Жирность,Органический продукт,С мякотью,Витамины и минералы,Газированный,Стимулирующее вещество,Способ обработки,Пол,Верхние ноты,Средние ноты,Базовые ноты
0,"0,33 л",Газированный напиток Laimon Fresh,https://market.yandex.ru/product--gazirovannyi-napitok-laimon-fresh/165765114,"0,33",Газированный напиток Laimon Fresh;Газированный напиток IRN-BRU;Газированный напиток Mountain Dew Цитрус;Газированный напиток Mirinda;Газированный напиток Fanta;Газированный напиток Schweppes Bitter Lemon,газированный напиток,"лимон, лайм, мята",да,среднегазированный,металлическая банка,ГОСТ 28188-89,"вода очищенная, сахар, концентрат яблочного сока, концентрат сока лайма, натуральные ароматизаторы ""Лаймон Фрэш"" (ароматические вещества, масла лимона, лайма и мяты).",47.2 ккал,12 г,"12 мес., хранить в защищённом от света месте при температуре от 0 до +18°C и относительной влажности не более 75%",Laimon Fresh,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"0,5 л","Классический термос Biostal NBP-500 (0,5 л)",https://market.yandex.ru/product--klassicheskii-termos-biostal-nbp-500-0-5-l/1721308281,"0,5","Классический термос Biostal NBP-500 (0,5 л);Классический термос Biostal NBP-500C (0,5 л);Классический термос Biostal NB-500В (0.5 л);Классический термос KOVEA KDW-BS500 (0,5 л);Классический термос Арктика 105-500 (0,5 л);Термокружка Biostal NMS-500 (0.5 л)",,,,,,,,,,,Biostal,Термосы и термокружки,,термос,0.5 л,сталь,сталь,16 ч,21.5 см,7.7 см,480 г,"кнопка-клапан, крышка-чашка",дополнительная пробка,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"0,9 л",Лак яхтный Belinka Yacht матовый (0.9 л) алкидно-уретановый,https://market.yandex.ru/product--lak-iakhtnyi-belinka-yacht-matovyi-0-9-l-alkidno-uretanovyi/1721681003,"0,9","Лак яхтный Belinka Yacht матовый (0.9 л) алкидно-уретановый;Классический термос Арктика 106-900 (0,9 л);Лак TEKNOS Helo 90 алкидно-уретановый;Классический термос Сплав SF-900 (0.9 л);Лак яхтный Belinka Yacht полуматовый (0.9 л) алкидно-уретановый;Ковш КАТЮША София 0.9 л",,,,,,,,,,,Belinka,Строительные лаки,,,0.9 л,,,,,,,,,алкидно-уретановая,растворитель,матовая,однокомпонентные,"кистью, распылителем","для потолков, для стен, для мебели",дерево,есть,есть,есть,24 часов,есть,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"1,5 л","Классический термос Diolex DXH-1500-1 (1,5 л)",https://market.yandex.ru/product--klassicheskii-termos-diolex-dxh-1500-1-1-5-l/1722849574,"1,5","Классический термос Diolex DXH-1500-1 (1,5 л);Термокувшин CS-Kochsysteme Passau (1,5 л);Классический термос Regent Universal 93-TE-U-1-1500 (1,5 л);Декантер Krosno Vinoteca 1.5 л;Классический термос Konig WT1-1500 (1.5 л);Лысьвенский завод эмалированной посуды Лоток 1.5 л. 2508/4",,,,,,,,,,,Diolex,Термосы и термокружки,,термос,1.5 л,сталь,сталь,24 ч,32.5 см,10 см,1050 г,"вакуумный, кнопка-клапан, ручка на корпусе, крышка-чашка, ремень для переноски, нескользящее дно",,,,,,,,,,,,,,,12 ч,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1 л,Моторное масло SHELL Helix Ultra ECT 5W-30 1 л,https://market.yandex.ru/product--motornoe-maslo-shell-helix-ultra-ect-5w-30-1-l/12701139,1,Моторное масло SHELL Helix Ultra ECT 5W-30 1 л;Моторное масло MOBIL 1 X1 5W-30 1 л;Классический термос Hangzhou EXCO Industrial EN100 (1 л);Классический термос Diolex DX-1000-3 (1 л);Классический термос Арктика 101-1000 (1 л);Моторное масло ЛУКОЙЛ Люкс синтетическое SL/CF 5W-30 1 л,,,,,,,,,,,SHELL,Моторные масла,,синтетическое,,,,,,,,,,,,,,,,,,,,,,,,1 л,5W-30,С3,C3/A3/B3/A3/B4,"бензиновый, дизельный",четырехтактный,легковые автомобили,"BMW LL-04, MB 229.51, VW 504.00/507.00, Porsche C30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"2 л, в ассортименте",Помповый термос Забава РК-2008 Тройка (2 л),https://market.yandex.ru/product--pompovyi-termos-zabava-rk-2008-troika-2-l/662845033,2,Помповый термос Забава РК-2008 Тройка (2 л),,,,,,,,,,,Забава,Термосы и термокружки,,помповый термос,2 л,сталь,стекло,,,,,"вакуумный, ручка на корпусе",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5 л,Газовый баллон NOVOGAS 5 л стальной 5 л,https://market.yandex.ru/product--gazovyi-ballon-novogas-5-l-stalnoi-5-l/414308382,5,"Газовый баллон NOVOGAS 5 л стальной 5 л;Кастрюля Маруся Классика 50к 5 л;Природная ледниковая вода Архыз негазированная, ПЭТ;Кастрюля Appetite Professional 5 л;Кастрюля Attribute Lime 5 л;Кастрюля Appetite Гратен 5,5 л",,,,,,,,,,,NOVOGAS,Газовые баллоны,,газовый баллон,,,,,285 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,стальной,"пропан, бутан",сварной,5 л,2 кг,резьбовое,16 бар,4 кг,222 мм,вентиль ВБ-2,20 лет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"7 Up, 1,5 л",Газированный напиток 7UP Лимон-Лайм,https://market.yandex.ru/product--gazirovannyi-napitok-7up-limon-laim/171117343,7,Газированный напиток 7UP Лимон-Лайм;Газированный напиток 7UP Лайм-Мята,газированный напиток,"лимон, лайм",,сильногазированный,пластиковая бутылка,,"вода, сахар, регуляторы кислотности (Е296, Е330, Е331), ароматизатор, консервант (Е211), подсластители (Е950, E955)",30 ккал,7.4 г,6 мес.,7Up,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"7-UP Lemon-Lemon, 0,5 л",Лимонад 7UP Lemon Lemon,https://market.yandex.ru/product--limonad-7up-lemon-lemon/163585324,7,Лимонад 7UP Lemon Lemon;Газированный напиток 7UP Лимон-Лайм,лимонад,лимон,да,сильногазированный,пластиковая бутылка,,"вода, сахар, концентрированный лимонный сок, регуляторы кислотности (Е296, Е331 (iii), Е330), натуральные ароматизаторы, консерванты (Е202, Е211), антиокислители (Е224, Е300)",27 ккал,6.8 г,"6 мес., хранить при температуре от 0 до +35 градусов и относительной влажности воздуха не более 75 %, беречь от воздействия прямого солнечного света; после вскрытия упаковки хранить напиток в закрытой таре в холодильнике при температуре от +2 до +8 градусов не более 24 часов",7Up,Лимонады и газированные напитки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,общее содержание сока не более 6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7 АП.2Л,Ионизатор Акваприбор АП-1 исполнение 2M,https://market.yandex.ru/product--ionizator-akvapribor-ap-1-ispolnenie-2m/195281047,7,Ионизатор Акваприбор АП-1 исполнение 2M;Электро-активатор Акваприбор АП-1 исполнение 2T;Электро-активатор Акваприбор АП-1 исполнение 2;Газированный напиток 7UP Лимон-Лайм,,,,,,,,,,,Акваприбор,Фильтры и умягчители для воды,,,,,,,,,2 кг,"получение живой и мертвой воды: католит 0.9л. и анолит 0.3л.; аноды выполнены из титана, а катоды выполнены из нержавеющей стали; устройство блока питания без предохранителя: при попытке электроактивации слишком минерализированной воды прибор подаст световой сигнал",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,нет,для холодной воды,есть,есть,70 Вт,есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
